number	order	family	genus	lifespan_l1yr	lifespan_g1yr	gen_less	gen_equa	gen_grea	stage_egg	stage_larv	stage_nymp	stage_adul	rep_ovov	rep_isol	rep_isol	rep_clut	rep_clut	rep_clut	rep_clut	rep_asex	disp_aq_pas	disp_aq_act	disp_aer_pas	disp_aer_act	resist_eggs	resist_coco	resist_hous	resist_diap	resist_none	resp_tegu	resp_gill	resp_plas	resp_spir	resp_hydr
11	Plecoptera	Capniidae	Capnia	3	0	0	3	0	3	3	0	0	3	1	0	0	0	0	0	0	1	2	0	1	0	0	0	3	1	3	0	0	0	0
13	Diptera	Ceratopogonidae	Ceratopogoninae	3	0	0	2	2	1	2	2	0	0	0	1	3	0	0	0	0	3	1	0	2	1	0	0	0	3	0	3	0	0	0
14	Trichoptera	Limnephilidae	Chaetopteryx	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	2	1	2	2	0	0	0
15	Diptera	Chironomidae	Chironomidae	3	0	0	2	2	0	3	3	0	0	0	0	1	3	0	0	0	2	1	2	1	0	0	0	0	3	3	1	0	0	0
16	Plecoptera	Chloroperlidae	Chloroperla	1	3	3	1	0	3	3	0	0	0	0	2	2	0	0	0	0	3	2	0	1	0	0	0	0	3	3	0	0	0	0
17	Diptera	Empididae	Clinocerinae	3	0	0	3	1	0	3	3	0	0	0	0	0	0	0	3	0	1	1	0	3	0	0	0	0	0	1	0	0	1	0
19	Odonata	Cordulegastridae	Cordulegaster	0	3	3	0	0	2	3	0	0	0	3	0	0	0	0	1	0	2	0	0	3	0	0	0	0	3	1	3	0	0	0
20	Hemiptera	Corixidae	Corixidae	3	0	0	1	2	3	3	0	2	0	0	1	3	0	0	0	0	1	2	0	2	0	0	0	1	0	1	0	2	3	0
21	Trichoptera	Lepidostomatidae	Crunoecia	0	3	3	0	0	3	2	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	0	2	2	0	0	0
22	Plecoptera	Perlidae	Dinocras	0	3	3	0	0	3	3	0	0	0	0	3	0	0	0	0	0	1	2	0	1	2	0	0	2	1	0	3	0	0	0
23	Trichoptera	Hydropsychidae	Diplectrona	3	1	1	3	0	3	3	3	0	0	0	0	3	0	0	0	0	3	1	1	3	0	0	0	0	3	2	0	0	0	0
24	Plecoptera	Perlodidae	Diura	1	3	3	2	0	3	3	0	0	0	0	0	1	3	0	0	0	1	2	0	1	3	0	0	2	0	3	0	0	0	0
25	Diptera	Dixidae	Dixa	3	0	0	3	0	2	3	2	0	0	0	0	3	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	3	0
26	Diptera	Dixidae	Dixidae	3	0	0	3	0	2	3	2	0	0	0	0	3	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	3	0
27	Trichoptera	Limnephilidae	Drusus	3	1	1	3	0	3	3	3	0	0	0	0	3	0	0	1	0	3	2	0	2	0	0	0	0	1	3	2	0	0	0
28	Coleoptera	Dryopidae	Dryops	1	3	0	3	0	1	2	0	1	0	0	0	0	0	1	3	0	0	1	0	3	0	0	0	0	3	3	0	3	3	0
29	Coleoptera	Dytiscidae	Dytiscidae_larvae	1	3	0	2	2	3	3	0	2	0	0	0	2	0	1	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
30	Trichoptera	Limnephilidae	Ecclisopteryx	1	0	0	3	0	3	3	3	0	0	0	0	3	0	0	1	0	0	2	0	2	0	0	0	0	0	3	2	0	0	0
31	Ephemeroptera	Heptageniidae	Ecdyonurus	3	1	1	3	0	3	3	0	0	0	2	0	3	0	0	0	0	3	1	1	3	2	0	0	1	2	1	3	0	0	0
32	Ephemeroptera	Heptageniidae	Electrogena	3	0	0	3	0	3	3	0	0	0	1	2	0	0	0	0	0	3	1	1	3	2	0	0	1	2	1	3	0	0	0
33	Coleoptera	Elmidae	Elmis	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
34	Diptera	Empididae	Empididae	3	0	0	3	2	0	3	3	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0
35	Ephemeroptera	Ephemeridae	Ephemera	1	3	3	1	0	3	3	0	0	0	0	3	1	0	0	0	0	1	1	1	3	2	0	0	3	0	1	3	0	0	0
36	Hirudinea	Erpobdellidae	Erpobdella	1	3	1	3	0	3	3	0	2	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	3	3	0	0	0	0
37	Coleoptera	Elmidae	Esolus	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
38	Amphipoda	Gammaridae	Gammarus	1	3	0	0	3	3	3	0	3	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0	3	0	0	0
39	Trichoptera	Glossosomatidae	Glossosoma	3	0	0	2	1	3	3	3	0	0	0	0	3	0	0	0	0	1	2	1	1	0	2	0	2	0	3	0	0	0	0
40	Coleoptera	Gyrinidae	Gyrinidae_larvae	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	0	2	0	3	0	0	0	0	3	1	3	0	3	0
41	Coleoptera	Limnephilidae	Halesus	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	1	2	0	3	0	0	0	1	3	3	2	0	0	0
42	Coleoptera	Haliplidae	Haliplidae_larvae	1	3	0	1	3	3	3	0	2	0	0	0	2	0	1	0	0	1	1	0	3	0	0	0	0	3	3	1	0	3	0
43	Coleoptera	Hydrophilidae	Helophorus	1	3	0	3	1	1	1	0	2	0	0	0	0	0	0	3	0	1	1	0	3	0	0	0	0	3	0	0	1	3	0
44	Ephemeroptera	Heptageniidae	Heptagenia	3	1	1	3	0	3	3	0	0	0	1	2	0	0	0	0	0	3	1	1	3	1	0	0	2	2	1	3	0	0	0
46	Coleoptera	Hydraenidae	Hydraena	1	3	0	3	1	3	0	0	3	0	0	0	0	0	0	3	0	2	1	0	3	0	0	0	0	3	0	0	3	2	0
47	Coleoptera	Hydrophilidae	Hydrophilidae_larvae	1	3	0	3	1	3	3	0	2	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0	1	3	0
48	Coleoptera	Dytiscidae	Hydroporus	1	3	0	1	3	3	3	0	2	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	3	1	0	0	3	0
49	Trichoptera	Hydropsychidae	Hydropsyche	3	0	0	2	2	3	3	3	0	0	0	0	3	0	0	0	0	3	2	1	3	0	0	0	0	3	2	3	0	0	0
50	Trichoptera	Hydroptilidae	Hydroptilidae	3	0	0	1	2	3	3	3	0	0	0	0	3	0	0	0	0	1	1	2	1	0	0	0	0	3	3	1	0	0	0
51	Plecoptera	Perlodidae	Isoperla	1	3	2	3	0	3	3	0	0	0	0	1	2	0	0	0	0	2	2	0	2	2	0	0	1	1	3	0	0	0	0
52	Trichoptera	Lepidostomatidae	Lepidostoma	3	1	0	3	1	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	0	0	3	2	2	0	0	0
53	Trichoptera	Leptophlebiidae	Leptophlebia	3	0	0	3	0	3	3	0	0	0	1	3	0	0	0	0	0	2	1	1	3	0	0	0	0	3	1	3	0	0	0
54	Plecoptera	Leuctridae	Leuctra	3	1	1	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	0	3	3	0	0	0	0
55	Trichoptera	Limnephilidae	Limnephilidae	2	0	0	3	0	3	3	3	0	0	0	0	2	0	0	0	0	1	2	0	2	0	0	0	1	2	2	2	0	0	0
56	Coleoptera	Elmidae	Limnius	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
57	Diptera	Limoniidae	Limoniidae	2	0	0	3	1	2	2	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	3	0
58	Plecoptera	Nemouridae	Nemoura	2	2	2	2	0	3	3	0	0	0	0	3	1	0	0	0	0	2	2	0	2	0	0	0	1	3	3	0	0	0	0
59	Plecoptera	Nemouridae	Nemurella	3	1	1	3	0	3	3	0	0	0	0	2	2	0	0	0	0	3	2	0	1	0	0	0	1	2	3	0	0	0	0
60	Trichoptera	Odontoceridae	Odontocerum	3	2	2	3	0	3	3	3	0	0	0	0	0	0	0	3	0	3	1	1	2	0	0	0	0	3	2	3	0	0	0
62	Coleoptera	Dytiscidae	Oreodytes	1	3	0	1	3	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	3	0	0	0	0	3	1	0	0	3	0
63	Coleoptera	Elmidae	Oulimnius	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
64	Trichoptera	Leptophlebiidae	Paraleptophlebia	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	1	1	3	0	0	0	0	3	1	3	0	0	0
65	Diptera	Pediciidae	Pediciidae	3	0	0	3	1	2	2	0	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	3	0
66	Plecoptera	Perlidae	Perla	0	3	3	0	0	3	3	0	0	0	0	3	0	2	0	0	0	1	2	0	1	2	0	0	0	2	0	3	0	0	0
67	Plecoptera	Perlidae	Perlodes	0	3	1	3	0	3	3	0	0	0	0	3	0	0	0	0	0	1	2	0	1	2	0	0	0	3	3	0	0	0	0
68	Trichoptera	Philopotamidae	Philopotamus	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	2	2	3	0	0	0	0
69	Bivalvia	Sphaeriidae	Pisidium	2	3	0	3	3	3	3	0	3	3	0	0	0	0	0	0	0	3	1	1	0	1	0	0	1	0	1	3	0	0	0
70	Trichoptera	Polycentropodidae	Plectrocnemia	2	1	1	2	2	3	3	3	0	0	0	0	2	1	0	0	0	2	1	1	2	0	0	0	0	3	3	0	0	0	0
71	Trichoptera	Polycentropodidae	Polycentropodidae	3	0	0	2	3	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	2	0	0	0	0	3	3	0	0	0	0
72	Trichoptera	Limnephilidae	Potamophylax	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	2	1	2	2	0	0	0
73	Plecoptera	Nemouridae	Protonemura	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	3	2	0	0	0
74	Trichoptera	Psychomyiidae	Psychomyia	3	0	0	0.5	3	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	3	3	0	0	0	0
75	Trichoptera	Psychomyiidae	Psychomyiidae	3	0	0	1	3	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	3	3	0	0	0	0
76	Gastropoda	Lymnaeidae	Radix	2	3	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	2	0	3	0	0	0	0
77	Ephemeroptera	Heptageniidae	Rhithrogena	3	1	1	3	0	3	3	0	0	0	1	1	3	0	0	0	0	3	2	1	3	2	0	0	0	2	1	3	0	0	0
78	Trichoptera	Rhyacophilidae	Rhyacophila	3	2	1	2	1	3	3	3	0	0	0	3	0	1	0	0	0	3	2	1	2	1	0	0	2	3	2	2	0	0	0
79	Coleoptera	Scirtidae	Scirtidae	1	3	0	3	0	3	3	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	3	1	3	0	0	0
80	Trichoptera	Sericostomatidae	Sericostoma	3	1	2	3	1	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	1	3	2	2	0	0	0
81	Ephemeroptera	Ephemerellidae	Serratella	3	0	0	3	1	3	3	0	0	0	1	3	0	0	1	0	0	2	3	1	3	2	0	0	1	1	1	3	0	0	0
82	Megaloptera	Sialidae	Sialis	0	3	3	1	0	0	3	0	0	0	0	0	3	0	0	3	0	0	2	0	1	0	0	0	0	0	0	3	0	1	0
83	Trichoptera	Goeridae	Silo	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	0	0	3	2	3	0	0	0
84	Diptera	Simuliidae	Simuliidae	3	1	0	2	3	2	3	3	0	0	1	0	3	1	0	1	0	2	2	3	1	1	0	0	1	0	3	1	0	2	0
85	Ephemeroptera	Siphlonuridae	Siphlonurus	3	0	0	3	0	3	3	0	0	0	1	3	0	0	1	0	0	1	2	1	3	3	0	0	0	0	1	2	0	0	0
86	Plecoptera	Chloroperlidae	Siphonoperla	2	1	1	2	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	0	0	0	0	3	3	0	0	0	0
87	Coleoptera	Dytiscidae	Stictotarsus	1	3	0	1	3	3	3	0	2	0	0	0	3	0	0	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
88	Diptera	Thaumaleidae	Thaumalea	3	0	0	3	0	1	2	2	0	0	0	0	0	0	0	3	0	2	1	0	1	0	0	0	0	1	0	0	0	3	0
89	Trichoptera	Psychomyiidae	Tinodes	3	0	0	2	3	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	0	3	3	0	0	0	0
90	Diptera	Tipulidae	Tipula	2	3	1	3	1	2	2	2	0	0	3	0	0	0	0	1	0	0	1	0	1	0	2	0	0	2	2	1	0	3	0
91	Diptera	Tipulidae	Tipulidae	2	3	1	3	1	2	2	2	0	0	3	0	0	0	0	1	0	0	1	0	1	0	2	0	0	2	2	1	0	3	0
93	Hemiptera	Veliidae	Velia	3	0	0	3	1	0	2	0	2	0	0	0	3	0	0	3	0	1	3	0	1	0	0	0	3	0	0	0	0	3	0
94	Trichoptera	Philopotamidae	Wormaldia	0	3	3	0	0	3	3	3	0	0	0	0	3	0	0	0	0	1	2	1	1	0	0	0	0	3	3	1	0	0	0
